tweet_id,created_at,text,response_tweet_id,in_response_to_tweet_id,possible_thread_fragment,possible_multi_intent
626918,2011-06-16 13:38:36+00:00,@americanair Do you have a number to call you and check the flight status?,626916,,True,False
2502768,2013-09-04 18:22:07+00:00,"Personally @97121 I think @AmericanAir needs a dance floor, a disco ball, a cocktail bar with vintage cocktail waitresses, and... hmm",2502766,,False,False
1312223,2014-12-08 23:54:47+00:00,@AmericanAir cld you pls update passengers of AA5 from DFW as to status of 2nd plane on this service after mech failure? Are we flying out?,1312222,,True,False
1312221,2014-12-09 00:57:29+00:00,@AmericanAir another half hour added to terminal monitor. 7.5 hr delay on AA5. One $12 meal voucher. Abominably poor communication. Cmon AA!,1312220,1312222.0,True,False
863025,2015-04-05 23:48:59+00:00,"Wow. I fly a lot. But @AmericanAir is above the rest.  They care about people.  I fly 100,000 miles a year and they are the BEST.",863022,,False,False
2863333,2015-06-05 18:30:56+00:00,@AmericanAir YOU FOUND HIM!!!!,2863332,2863334.0,True,False
2863331,2015-06-05 18:59:00+00:00,@AmericanAir I am so so happy finally there is a name to that face that has set the internet alight! :D,2863329,2863332.0,True,False
1347536,2015-08-07 11:43:19+00:00,I recommend people not use @AmericanAir unless they want poor service and/or want to be stuck somewhere all night. http://t.co/QCe2W0y50l,1347534,,False,False
2360757,2015-10-04 17:23:33+00:00,"@18157 @AmericanAir this is what ur people did to me luggage, animals!!! 😡😡😡 http://t.co/q666ZnxVsR",2360756,,True,False
1183395,2015-10-05 20:07:56+00:00,@AmericanAir I have AAdvantage Visa &amp; Master cards &amp; they WILL NOT WORK IN SAMAUNG PAY OR ANDROID PAY but work in Apple Pay &amp; Google pay WTF,1183394,,True,False
1183393,2015-10-06 06:14:25+00:00,@AmericanAir I’m trying to add my AAdvantage cards to Samsung Pay but it looks like your partner Citi won’t allow it http://t.co/ysdNHVXYN2,1183392,1183394.0,True,False
1183390,2015-10-06 06:25:44+00:00,@AmericanAir Then why is it I'm able to add it to Apple Pay on my iPhone 6s Plus. Plus this offer I got in May? http://t.co/wWQ4Eex82I,1183385,1183392.0,True,True
1671872,2015-12-21 17:43:15+00:00,"First never last, another flight @AmericanAir ✈️💋 https://t.co/YGqMJYUNxX",1671869,,False,False
900353,2016-01-30 03:59:55+00:00,.@AmericanAir confirms I can take my #yoga mat as carry on luggage. Namaste 🙏🏻,900352,,False,False
900349,2016-02-02 07:47:44+00:00,@AmericanAir My yoga mat is 70cm x 11cm rolled up. Can you confirm it's within carry on limit? I was given okay by your call centre.,900347,900352.0,True,False
900348,2016-02-02 08:18:50+00:00,"@AmericanAir Thanks, I've seen the link but want to confirm. It says 115cm overall but individual dimensions have max 56cm? My mat is 70cm.",900350,900347.0,True,False
240372,2016-08-27 13:39:57+00:00,"@AmericanAir The airline that loses children, seats pedophiles next to lone children.
The ""american"" way it would seem.",240370,,True,False
1192215,2016-08-29 18:36:34+00:00,"@AmericanAir I have 300,000 miles that I'm never able to use for a decent price. Would you please be more like Southwest?",1192213,1192216.0,True,False
1694660,2016-10-02 17:15:50+00:00,"An ""emotional support"" dog is having a massive fart attack behind me on my @AmericanAir transcon flight. Nose plugs please! #emotionalfarts",1694659,,False,False
1445865,2016-11-10 18:42:51+00:00,". @AmericanAir what is this??????? Dust everywhere, chipping paint. This plane is as old as an elephant!! https://t.co/NMUx9Orwvn",1445864,,False,False
1445864,2016-11-10 21:55:13+00:00,@455518 @AmericanAir they are THE worst! So dirty.,1445863,1445865.0,True,False
866496,2016-11-14 16:12:24+00:00,@AmericanAir DFW Lost and Found is failing us again. Need to speak to a human! #AmericanAirlines #FamilyTravel #Travel #TravelBlogger,866492,,True,False
2581385,2016-11-18 21:18:03+00:00,Quite frustrated with @AmericanAir. Plane is delayed at the gate because the pilot is nowhere to be found. 😡,2581383,,False,False
1682965,2017-01-08 23:44:40+00:00,Flight AA172 from LAX. Re-boarded 3 times. 10:35am departure leaving close to 4pm. @AmericanAir #AmericanAirlines #theworstairline,1682961,,False,False
1850519,2017-01-09 17:10:41+00:00,@AmericanAir New for 2017 - one more tier added to sub-first class boarding process...#snafu,1850518,,True,False
1850517,2017-01-13 15:39:19+00:00,"@AmericanAir if this morning's SFO boarding process is ""system wide"", it is a change I am happy to adjust to.",1850516,1850518.0,True,False
2901886,2017-01-21 19:33:35+00:00,@AmericanAir your unaccompanied minor booking process is painful.  Both of the csr I spoke to were rude.  I just went with @116450,2901884,,True,False
1937149,2017-03-20 00:56:14+00:00,Got married! Yay! Now flying home on a DIFFERENT flight than my bride. Thanks @AmericanAir for continuing to make things difficult.,1937148,,False,False
1031866,2017-03-29 00:44:05+00:00,@AmericanAir han pasado más de 22 días y no tengo una respuesta de la maleta que se me ROBARON  así tratan a sus clientes? hasta cuando,1031865,,True,False
2442698,2017-03-29 18:27:34+00:00,. @AmericanAir need help asap,2442696,,False,False
2442697,2017-03-29 19:08:07+00:00,. @AmericanAir i think my planes on fire. https://t.co/Rn2VZ0mRyX,2442699,2442696.0,False,False
1031865,2017-04-03 23:33:12+00:00,@AmericanAir Pueden contestar que paso con mi maleta @AmericanAir SE LA ROBARON,1031863,1031866.0,True,False
337828,2017-04-05 18:12:02+00:00,@AmericanAir New #MCO #AdmiralsClub nice inside. WiFi is super slow and bar TV only gets handful of channels. Not acceptable this day &amp; age.,337827,,True,False
1013024,2017-04-16 21:54:50+00:00,"@AmericanAir FA comes to row 13, says first person this row to raise their hand gets the last upgrade to 1st. Then takes a woman in row 12 😡",1013022,,True,False
2021014,2017-04-19 01:45:37+00:00,The @321756 should enforce every airline to offer The Godfather I &amp; II on the menu on every flight longer than three hours. cc @AmericanAir,2021013,,False,False
1307621,2017-04-24 00:40:23+00:00,"The joy of flying @AmericanAir A321 first class. No TV, outlets and less legroom than an exit row. Truly @JetBlue economy is better https://t.co/GRcvXLGXFB","1307622,1307619,1307623",,False,False
1204869,2017-05-01 15:57:37+00:00,@AmericanAir please stop trying to sell me miles. They're worthless compared to SW,1204867,,True,False
1204868,2017-05-01 17:00:46+00:00,@AmericanAir Lower mileage requirements so these can be used effectively (like SW),1204870,1204867.0,True,False
2061308,2017-05-02 09:05:14+00:00,It's actually amazing how much racism I've experienced on @AmericanAir this morning for sitting with a friend. Like genuinely amazing.,"2061309,2061306",,False,False
2835560,2017-05-17 21:41:24+00:00,First leg to an exciting Cabo visit!  @661325 @AmericanAir https://t.co/ETOGPjykOF,2835558,,False,False
2379272,2017-06-11 19:58:10+00:00,@AmericanAir Two kids under 7 &amp; you switch equipment and give the 4 of us middle seats all over the airplane.  Unacceptable Speechless Livid,2379270,,True,False
2731928,2017-06-17 17:08:38+00:00,@AmericanAir disappointing that the biz class seats in your DFW-AMS flight were old-style without full recline or updated media features.,2731927,,True,False
879093,2017-06-28 03:48:19+00:00,".@AmericanAir My wife traveled solo today w/ our 2 &amp; 3 year old &amp; expected to be able to pre-board.Was told ""We don't do that anymore"".True?","879096,879091",,False,False
879092,2017-06-28 04:01:53+00:00,"@AmericanAir Apologies, as a frequent flyer, other airlines provide the courtesy of pre-board when you fly w/ young children. Didn't know had to request.",879094,879091.0,True,False
2239376,2017-06-29 17:29:58+00:00,"@AmericanAir This is happening on Flight 937, DFW to LAX, Seats 11B &amp; 11A. What's your harassment policy? #AmericanAirlines #FatShaming https://t.co/Csd3iOxBdT","2239377,2239378,2239379,2239374,2239380,2239381",,True,False
1243993,2017-06-30 18:35:36+00:00,"@AmericanAir I've been flying AA exclusively for 5+ years, but this week was the worst flying experience I've ever had...please help",1243992,,True,False
899404,2017-07-05 21:31:47+00:00,@AmericanAir Thank you for NOT helping our family friends back home and deny them service AFTER they bought their tickets and no refund. 😡,899402,,True,False
2453430,2017-07-17 18:10:13+00:00,"@AmericanAir: cust svc says ""they'll say the same - said that's as far as I could go.""  WHO will help me??",2453429,,True,False
1953981,2017-07-21 11:25:47+00:00,"Disappointed @AmericanAir terrible customer service replacement for damage baggage not arrived,no response to emails. No help",1953980,,False,False
2000791,2017-07-21 20:53:47+00:00,@AmericanAir Hafsa Hazheer saved us today. Wish everyone was like her and the world would be a better place!! Thanks Hafsa!!,2000790,,True,False
2805831,2017-07-26 16:41:31+00:00,Charging unit on coach seats! Should be standard on every plane! Thanks @AmericanAir! A319 plane https://t.co/TpD5tpNhkt,2805829,,False,False
2805830,2017-07-26 18:16:20+00:00,@AmericanAir Flight attendant gave me a free drink for my birthday too! Bonus points @AmericanAir! https://t.co/vvW1ekQ28V,2805832,2805829.0,True,False
2401209,2017-08-03 06:52:46+00:00,At this moment in history we should be teaching our employees about love and inclusivity @AmericanAir. That was worst part of this night.,"2401210,2401207",,False,False
1530187,2017-08-07 09:20:27+00:00,"@AmericanAir Why is flight AA0735, MAN-PHL on Aug07 delayed?",1530186,,True,False
262549,2017-08-11 16:30:44+00:00,My 2 yr old will miss her birthday cause @AmericanAir cancelled int'l flight 12 hrs pre departure. No alternative till Sunday. #sadness https://t.co/puEDfGJ2nx,262548,,False,False
262548,2017-08-11 16:34:25+00:00,@AmericanAir Now wasting time trying to get a rebooking when I was supposed to wrap up work before holiday. @AmericanAir messing up my 1 holiday of yr,262547,262549.0,True,False
262547,2017-08-11 16:46:40+00:00,@AmericanAir Waited on hold for 16 min only to be directed to a full answering mach. New call hold time 11 mins. Using call back option @AmericanAir,262546,262548.0,True,False
262536,2017-08-11 17:37:52+00:00,@AmericanAir Thank you for the speedy response. Appreciate the offer for help. Will await your response. Thank you @AmericanAir,262534,262546.0,True,False
262535,2017-08-11 18:04:30+00:00,"@AmericanAir Disappointed that from a 90 min flight, i now have a 10+ hour trip DC to Toronto via Miami, with a 2 year old, and all u can do is apologize",262537,262534.0,True,False
