tweet_id,created_at,text,response_text
626918,2011-06-16 13:38:36+00:00,@americanair Do you have a number to call you and check the flight status?,"@28752 Text ""FLYAA"" (35922) with your flight number to get instant flight info!"
2502768,2013-09-04 18:22:07+00:00,"Personally @97121 I think @AmericanAir needs a dance floor, a disco ball, a cocktail bar with vintage cocktail waitresses, and... hmm","@713819 That sounds like fun, Sunita! We can all wear disco fashion."
1312223,2014-12-08 23:54:47+00:00,@AmericanAir cld you pls update passengers of AA5 from DFW as to status of 2nd plane on this service after mech failure? Are we flying out?,@426644 We know you're anxious to be on your way. We'll have an update on AA5 at 7p. Thanks for your patience.
1312221,2014-12-09 00:57:29+00:00,@AmericanAir another half hour added to terminal monitor. 7.5 hr delay on AA5. One $12 meal voucher. Abominably poor communication. Cmon AA!,"@426644 @AmericanAir OMG, the same thing happened today and nearly 8 hours sort it out."
863025,2015-04-05 23:48:59+00:00,"Wow. I fly a lot. But @AmericanAir is above the rest.  They care about people.  I fly 100,000 miles a year and they are the BEST.","@324933 Thanks for the shout-out, Charlie! Now let's make more of those 100,000 with us. #wink"
2863333,2015-06-05 18:30:56+00:00,@AmericanAir YOU FOUND HIM!!!!,"@442183 Yes, we did! Snape was on board for his moment in the social spotlight. #AATeam"
2863331,2015-06-05 18:59:00+00:00,@AmericanAir I am so so happy finally there is a name to that face that has set the internet alight! :D,@442183 We love your enthusiasm! We're happy to share #SnAApe with the rest of the world.
1347536,2015-08-07 11:43:19+00:00,I recommend people not use @AmericanAir unless they want poor service and/or want to be stuck somewhere all night. http://t.co/QCe2W0y50l,@434250 We're truly sorry your travel isn't going as intended. We hope you'll reconsider and give us another chance.
2360757,2015-10-04 17:23:33+00:00,"@18157 @AmericanAir this is what ur people did to me luggage, animals!!! 😡😡😡 http://t.co/q666ZnxVsR",@18157 @AmericanAir never heard back from you guys after two years!!
1183395,2015-10-05 20:07:56+00:00,@AmericanAir I have AAdvantage Visa &amp; Master cards &amp; they WILL NOT WORK IN SAMAUNG PAY OR ANDROID PAY but work in Apple Pay &amp; Google pay WTF,"@398285 We're a bit confused by your tweet, Alex. Are you trying to complete a payment on our Website?"
1183393,2015-10-06 06:14:25+00:00,@AmericanAir I’m trying to add my AAdvantage cards to Samsung Pay but it looks like your partner Citi won’t allow it http://t.co/ysdNHVXYN2,"@398285 AAdvantage cards are not eligible to be used for mobile payments, Alex."
1183390,2015-10-06 06:25:44+00:00,@AmericanAir Then why is it I'm able to add it to Apple Pay on my iPhone 6s Plus. Plus this offer I got in May? http://t.co/wWQ4Eex82I,"@398285 Our apologies, Alex. They're not eligible for Samsung or Android Pay."
1671872,2015-12-21 17:43:15+00:00,"First never last, another flight @AmericanAir ✈️💋 https://t.co/YGqMJYUNxX","@508852 We're happy to have you on board again, Sybil! Enjoy the First Class perks. #VIP"
