tweet_id,customer_message,generated_reply,relevance,helpfulness,groundedness,safety_accuracy,overall,human_relevance,human_helpfulness,human_groundedness,human_safety_accuracy,human_overall
163863,@AmericanAir   Customer service is awful.  Can’t issue a refund due to a death in the family.  WTH.  Very upsetting.,I’m sorry to hear about your experience and the loss you’ve suffered. I’m here to help. Could you please provide your booking reference and the name on the ticket so we can review the situation?,3,4,5,5,4,4,3,5,5,4
2509559,"@americanair  I'm on flight 1653, &amp; when I land, I will have flown over 20K miles in 2 wks. U can check my account to validate. U have chosen to make the upgrade list public, and I am curious if you can explain why I was next on the list and the  seat was given to an AA employee?","I understand your concern. The upgrade list is determined by your accumulated EQD and other factors, and sometimes seats are allocated to employees or other passengers with higher priority. I’ll forward your question to the team that manages the upgrade list. Could you please provide the flight date and your booking reference so we can look into the specific situation?",4,4,5,5,4,5,4,3,3,3
2114296,"Intolerable treatment from @AmericanAir. They cancelled my flight for Thanksgiving, left me high and dry with no flight, and offered me only a pittance for compensation. Time to cancel my @AmericanAir credit card and switch to a company that will at least make good on a contract.","I’m sorry to hear about the cancellation and the inconvenience it caused. To help you find the best next steps, could you please share your flight number or booking reference? Once we have that, we can look into available rebooking options or alternative flights for you.",3,4,5,5,4,3,3,5,5,3
2915365,"Okay @AmericanAir, why can I add one boarding pass to Apple Wallet but the next one (in the same email) seems to trigger your systems to go down? Don’t ask me to try again AGAIN.","It sounds like a temporary issue with the Apple Wallet integration for that specific boarding pass. You can try saving it via the American Airlines mobile app or print a copy at the airport. If the problem persists, let us know the error message you see and we’ll look into it further.",4,4,5,5,4,5,4,4,4,4
2239048,@AmericanAir I understand how it works. I was row 7F. Flight 1624. There was NO extra 6 inches of leg room. I expect you to provide with info for my refund or a travel voucher.,"Thank you for reaching out. To help us review your request, could you please provide your record locator and the date of flight 1624? Once we have that information, we will forward your case to the appropriate team for further assistance.",2,2,5,5,2,3,2,5,4,3
1870686,@AmericanAir Horrible that you raise the price while I’m keying in my credit card number!,We’re sorry to hear about the inconvenience you experienced. Please provide your booking reference so we can look into the pricing issue and assist you further.,5,5,5,5,5,4,3,5,5,4
748915,Got to Cincy safely. Thank you @AmericanAir for that and for getting me hooked on Biscoff cookies. 😂,Thank you for sharing your experience! We're thrilled you enjoyed your flight and the Biscoff cookies. Safe travels on your next adventure!,5,2,5,5,3,5,4,5,5,5
2731943,@AmericanAir trying to upgrade an existing reservation. I got through to someone who is helping me.  THANK YOU!,"Thank you for reaching out. I'm glad to hear you’re already in touch with a team member who’s assisting with your upgrade. If there’s anything else you need or any additional questions, feel free to let us know. Safe travels!",4,3,5,5,4,5,4,5,5,5
1367735,Delayed in Raleigh due to AA error. Sure would be nice if I had a few drink vouchers and some free WiFi @AmericanAir,I’m sorry for the delay you experienced in Raleigh. Could you please share your flight number or booking reference so we can look into providing assistance such as drink vouchers or WiFi?,5,5,5,5,5,5,4,4,4,4
1295685,@AmericanAir Listen. I buy a more expensive ticket because the cheaper ones don’t refund. But it ends up being non refundable anyway?,"I understand your concern. Non‑refundable tickets remain non‑refundable regardless of the fare paid. If you would like to explore rebooking options or use a voucher, please share your booking reference and travel dates.",5,5,5,5,5,5,4,3,3,3
263014,@AmericanAir is hands down the worst airlines company in #America,We're sorry to hear about your experience. Could you share more details or a flight number so we can assist you further?,4,4,5,5,4,4,3,5,5,4
2969408,"So @AmericanAir I just called to ask about my flight scheduled for Christmas Eve, and your CSR had no idea about the reports a computer scheduling glitch gave all your pilots the day off.

Can you give me assurances this flight won't be cancelled?
Or give your CSRs useful info?",We’re working to keep your flight on schedule and will keep you updated. Please check your flight status via the American Airlines app or website for the latest information.,3,3,5,4,3,3,3,2,3,3
2239051,@AmericanAir you’re selling economy comfort seats on your 737-800 Boeing (Sea -&gt; Ord) when in reality this is tighter than a regular seat on a regular airplane. What’s up with that? Be truthful to your customers. Give my money back.,"Thank you for sharing your concerns. Seat dimensions on the 737‑800 are designed to meet our standard economy configuration. If you feel the seat is not meeting your expectations, please provide your booking reference so we can review the details and discuss possible options.",3,4,5,5,4,4,3,3,3,3
2894138,@AmericanAir the gate agent at C18 for flight #2009 out of PHL was tremendous.  Didn’t get the name but many thanks for the accommodation!,Thank you for sharing your positive experience with the gate agent at C18 for flight 2009. We’re glad they were able to accommodate you and appreciate your feedback.,4,3,5,5,4,5,4,5,5,4
656734,"@AmericanAir I realize I’m not required to. But if I don’t, I end up with the middle seat in the last row of the plane. That’s not the point. Your seats are already cramped with no leg room. But if I pick an aisle or window I have to pay extra? This is such garbage.","If you’d like to request an aisle or window seat, you can do so through the American Airlines website or mobile app before check‑in, or ask a gate agent when you arrive. We’ll do our best to find an available seat for you.",3,4,5,5,3,3,3,4,3,3
2551478,@AmericanAir -EP traveler at gate and not on the upgrade list. This is supposed to be automatic and is noted in reservation. System issue.,"Please ask the gate agent to add you to the upgrade list. If no agent is available, let us know your flight number and departure time so we can help you further.",4,4,5,5,4,5,4,4,4,4
1469631,@AmericanAir Not only rude and lazy gate staff but also rude employees of yours flying and talking trash about other employees the whole flight!,We’re sorry to hear about your experience. We take all feedback seriously and would like to investigate further. Could you please share your flight details and any relevant information so we can look into this?,5,5,5,5,5,5,4,5,5,4
1080581,@AmericanAir And we left so late we ran low on fuel and being diverted has me missing my flight to London.,We’re sorry to hear about the delay. Please speak with an airport agent or contact Reservations for rebooking options to reach London.,5,4,5,5,4,5,4,5,5,4
2254688,"@AmericanAir yo y'all got some broken code on your online check-in, when I submit for online check-in with a green card it gives me an endless loop of having to enter green card info, I think its turning the green card number to asterisks before form validation and failing","It sounds like you’re encountering a technical issue with the online check‑in form when entering your green card information. Please try clearing your browser cache or using a different browser or device to see if that resolves the loop. If the problem continues, could you share your record locator so we can look into it further?",4,4,5,5,4,5,4,4,4,4
