tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
201682,163638,True,2017-10-04 18:52:18+00:00,@AmericanAir thank you for the worst flying experience ever.,201681,
201681,AmericanAir,False,2017-10-04 19:14:03+00:00,@163638 We want all your travels with us to be fabulous. Please DM your record locator and share what's going on.,,201682.0
178979,158199,True,2017-10-04 20:44:27+00:00,AAdvantage @AmericanAir award fees: $75.00. Ridiculous. Charging me to use my miles? Lame.,178978,
178978,AmericanAir,False,2017-10-04 21:00:11+00:00,@158199 If you book more than 21 days out you can avoid this charge. You can read more about our awards here: https://t.co/oYZQG4b6qn,,178979.0
241478,173334,True,2017-10-04 21:43:17+00:00,"Dear @AmericanAir, my flight got delayed so I switched flights. My bags are MIA. Can you assist?",241477,
241477,AmericanAir,False,2017-10-04 22:04:04+00:00,"@173334 We're sorry you've been delayed. Once you reach your destination, please file a report if your luggage isn't on the carousel.",,241478.0
178871,158161,True,2017-10-04 23:27:13+00:00,"@AmericanAir And, by passed for 1st class upgrade.  This is terrible.  I need to find a new airline ASAP.  After 85 flights in 2017 to be treated like this by American.  Terrible",,178869.0
253593,176281,True,2017-10-05 17:51:39+00:00,@AmericanAir u never seem able to expedite baggage claim. 59 mins &amp; counting. Will u tell me how sorry u are? Platitudes. Do better.,253592,
253592,AmericanAir,False,2017-10-05 17:54:13+00:00,@176281 We're sorry that you have to wait a little longer for your bags. We'll have them out to you soon.,,253593.0
263014,178676,True,2017-10-05 22:31:12+00:00,@AmericanAir is hands down the worst airlines company in #America,263012,
263012,AmericanAir,False,2017-10-05 22:36:24+00:00,@178676 We want you to love traveling with us. What happened to cause you to say this?,263013,263014.0
263013,178676,True,2017-10-05 23:11:35+00:00,"@AmericanAir There's nothing you guys can do, you guys always reply and never do anything to help. So why waste each other's time ???",263015,263012.0
263015,AmericanAir,False,2017-10-05 23:14:51+00:00,@178676 We're here 24/7 via Twitter to help and are sorry that we disappointed you.,263016,263013.0
263016,178676,True,2017-10-05 23:21:55+00:00,@AmericanAir Try having people who care as representatives of the airlines. Then maybe make sure they are schooled in consumer service,,263015.0
270389,175287,True,2017-10-06 01:40:11+00:00,@116462 @AmericanAir gogo wifi is the worst.  Always slow.  Flew Phl to SFO this week.  Same as always trying to send emails. https://t.co/LAWNUiOWtd,270388,
270388,AmericanAir,False,2017-10-06 01:56:24+00:00,@175287 We want you to have a speedy connection for sending email and our apologies you were disappointed.,,270389.0
272636,181092,True,2017-10-06 03:35:27+00:00,@AmericanAir  mailed 3 letters no response yet - want you to admit why you messed up - platinum miles members mean very little to AA,272638,272635.0
272638,AmericanAir,False,2017-10-06 04:09:19+00:00,@181092 We're taking a look at your DM now and will respond there shortly.,,272636.0
2061245,193661,True,2017-10-06 11:11:43+00:00,@AmericanAir wondering why my EP upgrade hasn’t cleared into a wide open 1st class cabin?,2061244,
