tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
626918,268460,True,2011-06-16 13:38:36+00:00,@americanair Do you have a number to call you and check the flight status?,626916,
626916,AmericanAir,False,2011-06-16 13:49:04+00:00,"@28752 Text ""FLYAA"" (35922) with your flight number to get instant flight info!",626917,626918.0
2502768,713819,True,2013-09-04 18:22:07+00:00,"Personally @97121 I think @AmericanAir needs a dance floor, a disco ball, a cocktail bar with vintage cocktail waitresses, and... hmm",2502766,
2502766,AmericanAir,False,2013-09-04 18:33:04+00:00,"@713819 That sounds like fun, Sunita! We can all wear disco fashion.",2502767,2502768.0
1023937,AmericanAir,False,2014-11-14 04:21:36+00:00,"@362312 We don't like nightmare's, Carson. Has it been taken care of for you?",1023936,
1312223,426644,True,2014-12-08 23:54:47+00:00,@AmericanAir cld you pls update passengers of AA5 from DFW as to status of 2nd plane on this service after mech failure? Are we flying out?,1312222,
1312222,AmericanAir,False,2014-12-09 00:24:07+00:00,@426644 We know you're anxious to be on your way. We'll have an update on AA5 at 7p. Thanks for your patience.,1312221,1312223.0
1312221,426644,True,2014-12-09 00:57:29+00:00,@AmericanAir another half hour added to terminal monitor. 7.5 hr delay on AA5. One $12 meal voucher. Abominably poor communication. Cmon AA!,1312220,1312222.0
863025,324933,True,2015-04-05 23:48:59+00:00,"Wow. I fly a lot. But @AmericanAir is above the rest.  They care about people.  I fly 100,000 miles a year and they are the BEST.",863022,
863022,AmericanAir,False,2015-04-06 00:16:53+00:00,"@324933 Thanks for the shout-out, Charlie! Now let's make more of those 100,000 with us. #wink","863023,863024",863025.0
2863333,442183,True,2015-06-05 18:30:56+00:00,@AmericanAir YOU FOUND HIM!!!!,2863332,2863334.0
2863332,AmericanAir,False,2015-06-05 18:50:14+00:00,"@442183 Yes, we did! Snape was on board for his moment in the social spotlight. #AATeam",2863331,2863333.0
2863331,442183,True,2015-06-05 18:59:00+00:00,@AmericanAir I am so so happy finally there is a name to that face that has set the internet alight! :D,2863329,2863332.0
2863329,AmericanAir,False,2015-06-05 18:59:48+00:00,@442183 We love your enthusiasm! We're happy to share #SnAApe with the rest of the world.,2863330,2863331.0
1347536,434250,True,2015-08-07 11:43:19+00:00,I recommend people not use @AmericanAir unless they want poor service and/or want to be stuck somewhere all night. http://t.co/QCe2W0y50l,1347534,
1347534,AmericanAir,False,2015-08-07 11:50:15+00:00,@434250 We're truly sorry your travel isn't going as intended. We hope you'll reconsider and give us another chance.,1347535,1347536.0
2360757,681722,True,2015-10-04 17:23:33+00:00,"@18157 @AmericanAir this is what ur people did to me luggage, animals!!! 😡😡😡 http://t.co/q666ZnxVsR",2360756,
1183395,398285,True,2015-10-05 20:07:56+00:00,@AmericanAir I have AAdvantage Visa &amp; Master cards &amp; they WILL NOT WORK IN SAMAUNG PAY OR ANDROID PAY but work in Apple Pay &amp; Google pay WTF,1183394,
1183394,AmericanAir,False,2015-10-05 20:49:04+00:00,"@398285 We're a bit confused by your tweet, Alex. Are you trying to complete a payment on our Website?",1183393,1183395.0
1183393,398285,True,2015-10-06 06:14:25+00:00,@AmericanAir I’m trying to add my AAdvantage cards to Samsung Pay but it looks like your partner Citi won’t allow it http://t.co/ysdNHVXYN2,1183392,1183394.0
1183392,AmericanAir,False,2015-10-06 06:18:26+00:00,"@398285 AAdvantage cards are not eligible to be used for mobile payments, Alex.",1183390,1183393.0
1183390,398285,True,2015-10-06 06:25:44+00:00,@AmericanAir Then why is it I'm able to add it to Apple Pay on my iPhone 6s Plus. Plus this offer I got in May? http://t.co/wWQ4Eex82I,1183385,1183392.0
1183385,AmericanAir,False,2015-10-06 06:31:27+00:00,"@398285 Our apologies, Alex. They're not eligible for Samsung or Android Pay.","1183386,1183387,1183388,1183389",1183390.0
1671872,508852,True,2015-12-21 17:43:15+00:00,"First never last, another flight @AmericanAir ✈️💋 https://t.co/YGqMJYUNxX",1671869,
1671869,AmericanAir,False,2015-12-21 18:03:55+00:00,"@508852 We're happy to have you on board again, Sybil! Enjoy the First Class perks. #VIP","1671870,1671871",1671872.0
900353,333737,True,2016-01-30 03:59:55+00:00,.@AmericanAir confirms I can take my #yoga mat as carry on luggage. Namaste 🙏🏻,900352,
900352,AmericanAir,False,2016-01-30 04:07:35+00:00,"@333737 The mat would need to fit in your carry-on allotment, Hayley. Here are the dimensions: https://t.co/AqqDo7IbvB #Namaste",900349,900353.0
