tweet_id,text,intent,reason,source_file
1577784,@AmericanAir been waiting for over an hour on the tarmac with no update as to what the problem is. Unacceptable.,Flight Delay / Cancellation / Disruption,"Message describes being held on the tarmac, the defining trigger for this intent.",candidate_general_negative.csv
1217199,@AmericanAir You waited till we boarded and were on the tarmac to realize an engine light was on. Then forgot to put food on plane. #failure,Flight Delay / Cancellation / Disruption,"Message describes being held on the tarmac, the defining trigger for this intent.",candidate_flight_disruption.csv
2681945,@AmericanAir #aa167 delayed- capt says “computer stuff”-saw the entire bay watch movie on tarmac-,Flight Delay / Cancellation / Disruption,"Message describes being held on the tarmac, the defining trigger for this intent.",candidate_flight_disruption.csv
825218,@AmericanAir We finished boarding 15 min ago. Door still open and no updates on what new delay is from pilot or attendants. This is ridiculous now.,Flight Delay / Cancellation / Disruption,"Message reports a delayed flight, the defining trigger for this intent.",candidate_general_negative.csv
2387550,"@AmericanAir 1/4 – Red eye flight delayed because plane landed at the wrong airport (seriously, wtf). A new plane had to be rerouted from PHX and took about 2 hours to arrive. That’s 3 planes full of people impacted by AA’s ineptitude",Flight Delay / Cancellation / Disruption,"Message reports a delayed flight, the defining trigger for this intent.",candidate_flight_disruption.csv
1070356,"@AmericanAir AA4866 flight, what a pain; delayed by an hr. then electrical issues cnge of plane, further delay by 1:30 hrs. Missed connect.",Flight Delay / Cancellation / Disruption,"Message reports a missed connection caused by a flight disruption, the defining trigger for this intent.",candidate_flight_disruption.csv
2174418,7:40am @AmericanAir flight to Chicago delayed 3 hours. Rebooked to 8:50 flight which is now delayed indefinitely while on the runway. And the seat is like 4in narrower than my small back https://t.co/kpftKQ1l4w,Flight Delay / Cancellation / Disruption,"Message reports a delayed flight, the defining trigger for this intent.",candidate_flight_disruption.csv
1354819,@AmericanAir delays &amp; deplaned flight 1484-re board same plane 1+ hours later no news and more maintenance.(No snack/drinks) #disappointed,Flight Delay / Cancellation / Disruption,"Message reports a delayed flight, the defining trigger for this intent.",candidate_general_negative.csv
1484740,"@AmericanAir sitting on plane in Mco.  Was already delayed for 30min, which made us catch wx.  Now ramp closed and likely will misconnect.",Flight Delay / Cancellation / Disruption,"Message reports a delayed flight, the defining trigger for this intent.",candidate_flight_disruption.csv
1080581,@AmericanAir And we left so late we ran low on fuel and being diverted has me missing my flight to London.,Flight Delay / Cancellation / Disruption,"Message reports a flight diversion, the defining trigger for this intent.",candidate_flight_disruption.csv
2139135,@AmericanAir this is ridiculous. Our flight AA 610 from ATL to DFW has been delayed multiple times (mechanical issues) all we get is a card telling us to change my flight? #unnacceptable have you ever made a cross country flight w/ 2 Kids under 3? #frustratedparents #annoyedkids,Flight Delay / Cancellation / Disruption,"Message reports a delayed flight, the defining trigger for this intent.",candidate_general_negative.csv
